method,phase,mean,std,min,max
pl_direct_cursor,not_closed,3.3384614181670864,0.15831444953910986,3.013089874999423,3.6430782919997
pl_direct_cursor,closed,3.441770034699827,0.23977792345652715,3.020589125000697,3.866795124995406
pl_direct_con,not_closed,3.4450415013995856,0.2241935363792787,3.1450614999994286,4.192586874996778
pl_direct_con,closed,3.4623065805009294,0.18721652784950166,3.078577416999906,3.9513255420024507
dbc_docs,closed,3.65458471946622,0.24225895204261938,3.284593374999531,4.094864915998187
